split_a,path_a,split_b,path_b,distance,same_class
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\03EczemaAreolae1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-areola-11.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\03EczemaExcoriated.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-leg-7.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\03EczemaExcoriated011204.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-leg-8.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\03eczema091205.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-chronic-20.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\05ATopicAreola.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-areola-14.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\05AtopicPapules.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Lupus\2543__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\skin-tags-polyps-33.jpeg,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Lupus\2551__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Lupus\lupus-sc3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Lupus\2564__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Lupus\lupus-bullous__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Warts\genital-warts-29.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Warts\genital-warts-52.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-immunocompromised-11.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Warts\genital-warts-57.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-common-47.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Warts\genital-warts-58.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-genital-1.jpeg,0,1
valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Warts\genital-warts-59.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-genital-2.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Acne\acne-cystic-11.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-pustular-18.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Acne\acne-excoriated-2.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-excoriated-1.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\Actinic-keratosis-AK-scaled.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images110.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\PAT_1993_4076_174.png,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-common-63.jpeg,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-54.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-23.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\actinic_keratosis.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images156.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\image14.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic_keratosis2.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\images256.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\Bowens-Disease.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\connective-tissue-nevus-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\porokeratosis-99.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\03Eczema0310.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-areola-3.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\05AtopicAreola23.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-areola-16.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-acute-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-hand-1.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-arms-7.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-chronic-2.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-face-2.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-chronic-19.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-fingertips-55.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-fingertips-56.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-fingertips-58.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-fingertips-59.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-fingertips-66.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-hand-100.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-foot-25.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-impetiginized-7.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-subacute-18.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-leg-4.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-subacute-36.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-trunk-generalized-25.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-trunk-generalized-28.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-29.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-trunk-generalized-36.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-15.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Lupus\lupus-chronic-cutaneous-41.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Lupus\lupus-chronic-cutaneous-40.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\SkinCancer\basal-cell-carcinoma-pigmented-64.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\SkinCancer\basal-cell-carcinoma-pigmented-65.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Vasculitis\vasculitis-98.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\vasculitis-97.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-30.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-31.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\warts-common-30.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-digitate-12.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\warts-digitate-13.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-common-32.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\warts-flat-29.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-flat-32.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\warts-flat-34.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-flat-35.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\images149.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\424__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\connective-tissue-nevus-1.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\PAT_1547_1876_839.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\porokeratosis-99.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\PAT_1547_1876_839.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-areola-17.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Eczema\05AtopicAreola3.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Eczema\eczema-hand-16.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Acne\acne-cystic-2.jpeg,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Lupus\2561__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Lupus\dle-scalp__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Lupus\le-nailfolds__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Lupus\2542__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-30.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\PAT_1547_1876_839.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-31.jpeg,valid,C:\Users\raghu\datasets\skin\SkinDisease\valid\Actinic_Keratosis\PAT_1547_1876_839.png,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\actinic-keratosis-web.jpeg,test,C:\Users\raghu\datasets\skin\SkinDisease\test\Actinic_Keratosis\images160.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\connective-tissue-nevus-1.jpeg,test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\porokeratosis-99.jpeg,0,1
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-30.jpeg,test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\connective-tissue-nevus-1.jpeg,0,0
test,C:\Users\raghu\datasets\skin\SkinDisease\test\Warts\genital-warts-31.jpeg,test,C:\Users\raghu\datasets\skin\SkinDisease\test\Benign_tumors\connective-tissue-nevus-1.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-face-1-28__WatermarkedWyJXYXRlcm1hcmtlZCJd (1).jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Acne\acne-face-1-28__WatermarkedWyJXYXRlcm1hcmtlZCJd.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\20230720_Actinic-Keratoses_Cheek.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images249.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\40257_2022_674_Fig1_HTML.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images209.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\ACTINIC-KERATOSES.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\image26.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\Actinic-Keratosis-skin-cancer-154918058_3744x5616-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\image16.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\Actinic_keratoses_on_forehead.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images278.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\F1.large.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images148.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1373_1283_85.png,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_409_2614_24.png,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_677_1350_358.png,train,C:\Users\raghu\datasets\skin\SkinDisease\train\SkinCancer\basal-cell-carcinoma-lesion-55.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-34.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-37.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-36.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-cheilitis-sq-cell-lip-40.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-ear-11.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-ear-12.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-face-19.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-face-37.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-face-46.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-face-47.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-hand-14.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-hand-20.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-hero.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\image24.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-horn-10.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-horn-21.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinic-keratosis-scaled.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images205.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinicKeratosisSolarKeratosis_51760_lg.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\image11.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\actinickeratosiis.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images99.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\c0168190-actinic-keratosis-scalp-science-photo-library-high.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images183.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images167.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images139.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\vasculitis-58.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\images270.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-common-63.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\epidermal-cyst-167.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\epidermal-cyst-168.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\epidermal-cyst-98.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\pilar-cyst-33.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\epidermal-cyst-99.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\pilar-cyst-34.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\epidermal-nevus-27.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-leg-20.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\granuloma-faciale-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\granuloma-faciale-1.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\granuloma-faciale-2.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\granuloma-faciale-2.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\granuloma-faciale-3.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\granuloma-faciale-3.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\granuloma-faciale-4.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\granuloma-faciale-4.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\granuloma-faciale-5.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Vasculitis\granuloma-faciale-5.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keloids-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keloids-50.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keratoacanthoma-119.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keratoacanthoma-120.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keratoacanthoma-92.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\keratoacanthoma-93.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\leiomyomata-1.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Warts\warts-common-3.jpeg,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\neurofibromas-13.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_409_2614_24.png,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\nevus-sebaceous-32.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\nevus-sebaceous-36.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\nevus-sebaceous-41.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\nevus-sebaceous-50.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\porokeratosis-4.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\porokeratosis-56.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\porokeratosis-57.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Actinic_Keratosis\PAT_1282_978_328.png,0,0
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\syringoma-20.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Benign_tumors\syringoma-21.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-acute-12.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-acute-13.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-10.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-24.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-11.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-40.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-14.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-nummular-16.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-3.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-6.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-4.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-7.jpeg,0,1
train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-arms-5.jpeg,train,C:\Users\raghu\datasets\skin\SkinDisease\train\Eczema\eczema-subacute-8.jpeg,0,1
